sub_sport_category,description,reference_website,level
Ice Hockey,"A fast-paced sport played on an ice rink with six players per team, aiming to score by shooting a puck into the opponent’s goal.","https://www.topendsports.com/sport/list/hockey-ice.htm",2
Bandy,"A predecessor of ice hockey, played on a large outdoor ice field with a ball instead of a puck, similar to association football.","https://www.topendsports.com/sport/list/bandy.htm",2
Rink Bandy,"An indoor version of bandy played on a standard ice hockey rink, allowing players to train year-round.","https://www.topendsports.com/sport/list/bandy-rink.htm",2
Rinkball,"Similar to rink bandy, but played with ice hockey sticks and emphasizing skillful play.","https://www.topendsports.com/sport/list/rinkball.htm",2
Pond Hockey,"A casual outdoor version of ice hockey played on frozen ponds or lakes, with no boards and smaller teams.","https://www.topendsports.com/sport/list/hockey-pond.htm",2
3x3 Ice Hockey,"A fast-paced variation of ice hockey played on a half rink with three players per team.","https://www.topendsports.com/sport/list/hockey-ice-3x3.htm",2
Ringette,"A non-contact ice sport primarily for females, using a straight stick and a rubber ring instead of a puck.","https://www.topendsports.com/sport/list/ringette.htm",2
Broomball,"A game similar to ice hockey but played with a broom instead of a stick and without skates.","https://www.topendsports.com/sport/list/broomball.htm",2
Spongee,"A non-contact version of ice hockey played on an ice rink with rubber boots and a sponge puck.","https://www.topendsports.com/sport/list/spongee.htm",2
Roller Hockey,"A category of hockey played on roller or inline skates, featuring different variations like rink hockey and inline hockey.","https://www.topendsports.com/sport/list/hockey-roller.htm",2
Rink Hockey,"A form of roller hockey played on quad skates, using a curved stick and a hard ball.","https://www.topendsports.com/sport/list/hockey-rink.htm",2
Inline Hockey,"A variation of roller hockey played on inline skates, similar to ice hockey but on a smooth surface.","https://www.topendsports.com/sport/list/hockey-inline.htm",2
Unicycle Hockey,"A unique hockey variant where players ride unicycles, using ice hockey sticks and a tennis ball.","https://www.topendsports.com/sport/list/unicycle-hockey.htm",2
Field Hockey,"A widely played team sport where players use curved sticks to hit a hard ball into the opponent’s goal on grass or artificial turf.","https://www.topendsports.com/sport/list/hockey-field.htm",2
Indoor Field Hockey,"A variation of field hockey played indoors with side boards to keep the ball in play and restrictions on lifting the ball.","https://www.topendsports.com/sport/list/hockey-field-indoor.htm",2
Hockey Fives,"A fast-paced, shorter version of field hockey played with fewer players on a smaller field.","https://www.topendsports.com/sport/list/hockey-fives.htm",2
Floor Hockey,"A category of hockey played indoors on a wooden surface, derived from ice hockey but without ice.","https://www.topendsports.com/sport/list/hockey-floor.htm",2
Floorball,"A type of floor hockey using lightweight plastic sticks and a perforated ball, popular in Europe.","https://www.topendsports.com/sport/list/floorball.htm",2
Ball Hockey,"A variation of floor hockey played with a ball instead of a puck, often in gymnasiums or rinks.","https://www.topendsports.com/sport/list/hockey-ball.htm",2
Street Hockey,"A casual version of hockey played on asphalt or cement, often with players in regular shoes instead of skates.","https://www.topendsports.com/sport/list/hockey-street.htm",2
Beikou Tarkbei,"Also known as Daur Hockey, a traditional team sport played by the Daur ethnic group in Inner Mongolia.","https://www.topendsports.com/sport/list/hockey-daur.htm",2
Rossall Hockey,"A unique form of hockey played exclusively at Rossall School in England, featuring distinct rules and playstyle.","https://www.topendsports.com/sport/unusual/rossall-hockey.htm",2
Air Hockey,"played on an air-hockey table, participants try to hit a puck elevated on a cushion of air into the opponent's goal.","https://www.topendsports.com/sport/list/hockey-air.htm",2
Lacrosse,"a team game, originally played by North American Indians, in which the ball is thrown, caught, and carried with a long-handled stick with a piece of shallow netting at one end. Versions include Field Lacrosse, Box Lacrosse, Women's Lacrosse, Sixes Lacrosse.","https://www.topendsports.com/sport/list/lacrosse.htm",2
