sub_sport_category,description,reference_website,level
Benchrest Shooting,"a shooting sport where the participant shoots with a rifle at the bench.","https://www.topendsports.com/sport/list/shooting-benchrest.htm",2
Fullbore Target Rifle Shooting,"using rifles, shooters hit paper targets in a prone position.","https://www.topendsports.com/sport/list/shooting-fullbore-target-rifle.htm",2
High Power Rifle,"shooting competition using rifles such as the service rifle.","https://www.topendsports.com/sport/list/shooting-high-power-rifle.htm",2
Popinjay,"a shooting sport with either bows or rifles, in which the bird-like target is suspended from a pole.","https://www.topendsports.com/sport/list/popinjay.htm",2
Clay pigeon shooting,"the shooters try to shoot flying targets like clay pigeons with a shotgun.","https://www.topendsports.com/sport/list/shooting-clay-pigeon.htm",2
Skeet Shooting,"targets are thrown in singles and doubles from two traps situated 40m apart.","https://www.topendsports.com/sport/list/shooting-skeet.htm",3
Trap Shooting,"1 or 2 targets are thrown away from traps situated 15m in front of the shooter.","https://www.topendsports.com/sport/list/shooting-trap.htm",3
Sporting Clays,"shooters move about a course, attempting to hit varying targets projected at different angles, speed, elevation, and distances.","https://www.topendsports.com/sport/list/shooting-sporting-clays.htm",3
Practical Shooting,"a dynamic shooting sport using handguns and moving and shooting over obstacles.","https://www.topendsports.com/sport/list/shooting-practical.htm",2
Metallic Silhouette Shooting,"players compete to test their skills by shooting at silhouette metal targets.","https://www.topendsports.com/sport/list/shooting-metallic-silhouette.htm",2
Target Shooting,"guns of any type used for aiming at a target.","https://www.topendsports.com/sport/list/shooting-target.htm",2
Field Target,"an outdoor air gun discipline.","https://www.topendsports.com/sport/list/shooting-field-target.htm",2
Hunting,"an activity that involves tracking and killing animals with various weapons (not a sport?).","https://www.topendsports.com/sport/list/hunting.htm",2
Cowboy Action Shooting,"involves shooting targets with a variety of guns that were typical of the late 19th century.","https://www.topendsports.com/sport/list/shooting-cowboy-action.htm",2
Skirmish,"a general term for sports in which participants replicate firearm warfare.","no reference website",2
Airsoft,"a skirmish sport in which participants eliminate opponents by hitting them with spherical non-metallic pellets from replica firearms.","https://www.topendsports.com/sport/list/skirmish-airsoft.htm",3
Laser Tag,"a skirmish sport in which players attempt to score points by tagging targets, typically with a hand-held infrared-emitting targeting device.","https://www.topendsports.com/sport/list/skirmish-laser-tag.htm",3
Paintball,"a skirmish sport in which players compete to eliminate opponents by tagging them with capsules containing water-soluble dye propelled from paintball guns.","https://www.topendsports.com/sport/list/skirmish-paintball.htm",3
Target Sprint,"a combination of sprint running and air rifle shooting.","https://www.topendsports.com/sport/list/biathlon-target-sprint.htm",2
Archery,"competitive archery involves shooting arrows at a target for accuracy from a set distance or distances. The main forms of archery are Target Archery and Field Archery, and others include Clout Archery, 3D archery, Crossbow Archery, Flight Archery, and Ski Archery.","https://www.topendsports.com/sport/list/archery.htm",2
