sub_sport_category,description,reference_website,level
Indoor Volleyball,"A team sport played indoors on a hardwood surface, originally developed in 1896 at Springfield College, Massachusetts.","https://www.topendsports.com/sport/list/volleyball.htm",2
Beach Volleyball,"A variation of volleyball played on sand, typically with two players per team, gaining popularity since the 1980s.","https://www.topendsports.com/sport/list/volleyball-beach.htm",2
Indoor Sand Volleyball,"A version of beach volleyball played on sand but in an indoor setting, combining aspects of both variations.","no reference website",2
Snow Volleyball,"A winter adaptation of volleyball played on snow, growing in popularity as an official sport.","https://www.topendsports.com/sport/list/volleyball-snow.htm",2
Water Volleyball,"A competitive form of volleyball played in swimming pools, also known as Aquatic Volleyball.","https://www.topendsports.com/sport/list/volleyball-water.htm",2
Biribol,"A Brazilian water volleyball variation played in a smaller pool, recognized as a national sport in Brazil.","https://www.topendsports.com/sport/list/biribol.htm",2
Beach Aquatic Volleyball,"A hybrid sport played in shallow beach waters, combining elements of beach and water volleyball.","no reference website",2
Paralympic Volleyball,"is otherwise known as sitting volleyball as the participants remain sitting while playing the game","https://www.topendsports.com/sport/list/volleyball-sitting.htm",2
Seatball,"Also known as Sitzball or Sitball, a variation of sitting volleyball played on a larger court, allowing the ball to bounce once between touches.","https://www.topendsports.com/sport/list/seatball.htm",2
Ecuavoley,"A volleyball variation from Ecuador played with a higher net and three players per team.","https://www.topendsports.com/sport/list/ecuavoley.htm",2
Sepak Takraw,"A popular Southeast Asian sport similar to volleyball, but players use their feet, head, knees, and chest to hit a rattan ball over the net.","https://www.topendsports.com/sport/list/sepak-takraw.htm",2
Sipa,"A traditional Filipino sport similar to Sepak Takraw, where players kick a rattan ball over a net.","https://www.topendsports.com/sport/list/sipa.htm",2
Footvolley,"A Brazilian sport combining beach volleyball and football (soccer), where players use only their feet, head, chest, and shoulders.","https://www.topendsports.com/sport/list/footvolley.htm",2
Jokgu,"A Korean sport similar to Football Tennis, played with a lower net and allowing a bounce before returning the ball.","https://www.topendsports.com/sport/list/jokgu.htm",2
Fistball,"An outdoor team sport similar to volleyball, where players hit the ball with a fist or arm and allow one bounce before returning.","https://www.topendsports.com/sport/list/fistball.htm",2
Newcomb Ball,"An early variation of volleyball where players catch and throw the ball over the net instead of hitting it.","https://www.topendsports.com/sport/list/newcomb-ball.htm",2
Throwball,"An Indian sport similar to Newcomb Ball, where players catch and throw the ball back and forth until it hits the floor or is mishandled.","https://www.topendsports.com/sport/list/throwball.htm",2
Hoover Ball,"A variation of volleyball invented for US President Herbert Hoover, where a heavy medicine ball is thrown over the net and caught before being thrown back.","https://www.topendsports.com/sport/unusual/hooverball.htm",2
Catchball,"A more recent volleyball-like sport developed in Israel, primarily for women, where players catch and throw the ball over the net.","https://www.topendsports.com/sport/list/catchball.htm",2
Wallyball,"A variation of volleyball played on a racquetball court, where players can bounce the ball off the walls.","https://www.topendsports.com/sport/list/wallyball.htm",2
Volley Squash,"A game similar to Wallyball, played on a squash court with the ball allowed to bounce off the walls.","no reference website",2
9-Man Volleyball,"a Chinese variation of volleyball utilizing nine players and a slightly larger court, originated in Asia in the 1920s.","no reference website",2
Bossaball,"played on an inflatable court with trampolines on each side of the net.","https://www.topendsports.com/sport/list/bossaball.htm",2
Crossnet,"a cross between volleyball and 4-square, played with a four-way net.","https://www.topendsports.com/sport/list/volleyball-crossnet.htm",2
Te Ano,"the national game of Tuvalu, with similarities to volleyball, though using two balls at once.","https://www.topendsports.com/sport/list/te-ano.htm",2
Roundnet,"involves two teams of two, who have up to three touches to hit a ball off a small round horizontal trampoline-type net.","https://www.topendsports.com/sport/list/roundnet.htm",2
Footbag Net,"players have to kick a footbag over a 5ft high net.","https://www.topendsports.com/sport/list/footbag-net.htm",2
