sub_sport_category,description,reference_website,level
Polocrosse,"a hybrid of Polo and Lacrosse, played on horseback.","https://www.topendsports.com/sport/list/polocrosse.htm",2
Korfball,"it may have been developed as a hybrid of netball and basketball, as a mixed-gender sport.","https://www.topendsports.com/sport/list/korfball.htm",2
Mixed Martial Arts (MMA),"a full-contact individual combat sport which include aspects of several other combat sports and martial arts.","https://www.topendsports.com/sport/list/mma.htm",2
Headis,"combining table tennis and soccer, players use their heads to hit a soccer ball across the table tennis table and net.","https://www.topendsports.com/sport/list/headis.htm#google_vignette"
Darchery,"a combination of darts and archery, using bows and arrows typically used for archery, but the target is a dartboard.","https://www.topendsports.com/sport/list/dartchery.htm",2
Chess boxing,"a combination of chess and boxing.","https://www.topendsports.com/sport/list/chess-boxing.htm",2
Shinty-Hurling,"The Irish sport of hurling combined with the Scottish sport of shinty.","https://www.topendsports.com/sport/list/shinty-hurling.htm",2
International Game,"a sport created to join up many sports that are allegedly derived from Jeu de paume.","https://www.topendsports.com/sport/list/international-game.htm",2
Universal Football,"a hybrid sport of Australian rules football (AFL) and rugby league, which unfortunately did not gain popularity. The sport is not currently played and was actually played officially just once in 1933.","https://www.topendsports.com/sport/extinct/universal-football.htm",2
Austus,"a hybrid sport between Australian Rules Football and American Football, created in Australia during World War II when soldiers stationed there from the USA wanted to play football against the Australians, but not played since.","https://www.topendsports.com/sport/extinct/austus.htm",2
Volata,"ball game that was developed in fascist Italy as a substitute for association football (soccer) and rugby union","https://www.topendsports.com/sport/extinct/volata.htm",2
Football Tennis,"volleyball type sport using the feet to kick the ball over the net","https://www.topendsports.com/sport/list/football-tennis.htm",2
Footgolf,"A combination of football and golf, where players kick a ball into large holes.","https://www.topendsports.com/sport/list/footgolf.htm",2
Horse Soccer,"a variation of Pushball, a team sport where an inflated ball is driven through a goal while riding a horse.","https://www.topendsports.com/sport/list/soccer-horse.htm",2
