sub_sport_category,description,reference_website,level
Dancesport,"Dancesport is the competitive form of Ballroom and Latin Dancing, in which contestants perform dances before judges.","https://www.topendsports.com/sport/list/dancesport.htm",2
Pole Dancing,"participants perform various types of acrobatic moves like spins, climbs, twists and body inversions around a pole.","https://www.topendsports.com/sport/list/pole-dancing.htm",2
Breakdancing,"an athletic style of street dance.","https://www.topendsports.com/sport/list/breakdancing.htm",2
Acrobatic Gymnastics,"team of gymnasts work together to perform acrobatic moves in combination with dance moves.","https://www.topendsports.com/sport/list/acrobatics.htm",2
Rhythmic Gymnastics,"uses the elements of ballet, gymnastics, dance, and apparatus manipulation.","https://www.topendsports.com/sport/list/gymnastics-rhythmic.htm",2
Floor (Gymnastics),"gymnasts perform a tumbling and dance routine on a floor space.","https://www.topendsports.com/sport/list/gymnastics-floor.htm",2
Calisthenics,"a competitive team sport in which athletes perform elements of rhythmic gymnastics and ballet.","https://www.topendsports.com/sport/list/calisthenics.htm",2
Sport Aerobics,"the objective is to perform high-intensity gymnastic moves in sync with background music. Also called Aerobic Gymnastics.","https://www.topendsports.com/sport/list/aerobics.htm",2
Aesthetic Group Gymnastics,"a team sport where a large group of gymnasts perform coordinated continuous movements.","https://www.topendsports.com/sport/list/gymnastics-group.htm",2
Cheerleading,"a dubious sport in which groups of cheerleaders do routines that are subjectively assessed.","https://www.topendsports.com/sport/list/cheerleading.htm",2
Chinlone,"the traditional sport of Burma or Myanmar, a team sport combined with dance (also known as Caneball).","https://www.topendsports.com/sport/list/chinlone.htm",2
Synchronized Skating,"a sport of the figure skating discipline in which 8 to 20 skaters perform routines as a team on an ice rink.","https://www.topendsports.com/sport/list/synchronized-skating.htm",2
Figure Skating,"an artistic ice skating sport where athletes perform routines on an ice rink. Includes the disciplines of Ice Dancing and Synchronized Skating.","https://www.topendsports.com/sport/list/figure-skating.htm",2
Synchronized Swimming,"athletes perform synchronized dance routines to music while floating in the water.","https://www.topendsports.com/sport/list/synchronized-swimming.htm",2
Sport Kite,"using a stunt kite to fly the kite in several patterns in time to background music.","https://www.topendsports.com/sport/list/kite-flying.htm",2
Marching Band,"a large team of participants play musical instruments as they perform various routines while moving around on a huge outdoor field.","https://www.topendsports.com/sport/list/marching-band.htm",2
Drum Corps,"a competitive, performance-based activity featuring precision marching, brass, percussion, and color guard ensemble.","https://www.topendsports.com/sport/list/drum-corps.htm",2
Color Guard,"teams perform routines to music, combining dance, flag spinning, rifle and saber handling.","https://www.topendsports.com/sport/list/color-guard.htm",2
Winter Guard,"an indoor sport of the color guard discipline in which teams perform several routines using supporting equipment to recorded background music.","https://www.topendsports.com/sport/list/winter-guard.htm",2
Baton Twirling,"a metal rod called a baton, is manipulated, while simultaneously making coordinated dance moves.","https://www.topendsports.com/sport/list/baton-twirling.htm",2
Canine Freestyle Dancing,"dancing with your dog.","https://www.topendsports.com/sport/unusual/dog-dancing.htm",2
Broom Dancing,"you dance with a broom","no reference website",2
Just Dance,"an e-sport event","no reference website",2
