sub_sport_category,description,reference_website,level
Air Racing,"involves airplanes competing over a fixed course low to the ground.","https://www.topendsports.com/sport/list/air-racing.htm",2
Aerobatics,"sport aerobatics involves aircraft maneuvers such as rolls, loops, stall turns (hammerheads), and tailslides.","https://www.topendsports.com/sport/list/aerobatics.htm",2
Ultralight Aviation,"events with lightweight aircraft which have 1 or 2 seat fixed-wings.","https://www.topendsports.com/sport/list/ultralight-aviation.htm",2
Aeromodeling,"sport using flying model aircraft (not a sport).","https://www.topendsports.com/sport/list/aeromodeling.htm",2
Drone Racing,"competitors race with specially built multi-rotor drones around a natural or specifically designed course (not a sport).","https://www.topendsports.com/sport/list/drone-racing.htm",2
Hang Gliding,"a type of air sport in which the rider flies a non-motorized aircraft which is called a hang glider.","https://www.topendsports.com/sport/list/hang-gliding.htm",2
Kitesurfing,"a board and kite are used on the water utilizing different styles consisting of freeride, speed, down winders and racing.","https://www.topendsports.com/sport/list/kite-surfing.htm",2
Paragliding,"riders using para-gliders perform cross country or acrobatic maneuvers.","https://www.topendsports.com/sport/list/paragliding.htm",2
Ballooning,"competitive hot air ballooning is a test of accuracy, not speed. The aim is to fly as close as possible to a target and drop a weighted marker.","https://www.topendsports.com/sport/list/ballooning.htm",2
Gliding,"an air sport in which pilots use an unpowered aircraft.","https://www.topendsports.com/sport/list/gliding.htm",2
Canopy Piloting,"a parachute skydiver performs aerial feats above a small body of water.","https://www.topendsports.com/sport/list/canopy-piloting.htm",2
Skysurfing,"a skydiver attaches a board to his feet during freefall.","https://www.topendsports.com/sport/list/skysurfing.htm",2
BASE Jumping,"involves parachuting from a structure or cliff, with competitions based on landing accuracy.","https://www.topendsports.com/sport/list/base-jumping.htm",2
Parachuting / Skydiving,"involves jumping from an aircraft with just a parachute.","https://www.topendsports.com/sport/list/parachuting.htm",2
Banzai Skydiving,"a form of skydiving in which the diver throws their parachute out the airplane door, waits and then jumps after it.","https://www.topendsports.com/sport/list/banzai-skydiving.htm",2
Wingsuit Flying,"a variety of skydiving, where a person will fly in the air using a special jumpsuit called the wingsuit.","https://www.topendsports.com/sport/list/wingsuit-flying.htm",2
Bodyflight,"an acrobatic sport involving skydiving or a vertical tunnel to perform maneuvers while in the air.","https://www.topendsports.com/sport/list/bodyflight.htm",2
