sub_sport_category,description,reference_website,level
Motorcycling Road Racing,"a motorcycle sport involving racing motorcycles as teams or individuals around a circular track. At the elite level it is in the form of MotoGP racing. Also known as Moto racing and Bike racing.","https://www.topendsports.com/sport/list/motorcycle-road-racing.htm",2
Motorcycle Speedway,"the motorcycles have one gear and no brakes, and race around a circular track. Also commonly known as just 'speedway'.","https://www.topendsports.com/sport/list/motorcycle-speedway.htm",2
Long Track Motorcycle Speedway,"a version of motorcycle speedway, but taking place on longer tracks at much higher speeds.","https://www.topendsports.com/sport/list/motorcycle-speedway-longtrack.htm",2
Motorcycle Sidecar Racing,"rider and a passenger compete in custom-built vehicles","https://www.topendsports.com/sport/list/motorcycle-sidecar.htm",2
Rally Racing (motorbike),"a navigation event on motorbikes on public roads whereby competitors must visit a number of checkpoints in diverse locations while still obeying road traffic laws.","no reference website",2
Auto Race,"a Japanese motorcycle speedway competition which is held on tarmac tracks, predominantly a gambling sport.","https://www.topendsports.com/sport/list/auto-race.htm",2
Ice Speedway,"similar to Speedway Racing, though using a motorbike developed specifically for racing on ice. The bikes race anti-clockwise around oval tracks between 260 and 425 meters in length.","https://www.topendsports.com/sport/list/ice-speedway.htm",2
Land Speed Records,"in various vehicle classes which includes motorcycles, competitors attempt to create the fastest time over a fixed distance. Two runs are required in opposite directions within one hour to set a new mark.","https://www.topendsports.com/sport/list/land-speed-records.htm",2
Endurance Racing,"a motorsport where teams of two or four race for long distances","https://www.topendsports.com/sport/list/motorsport-endurance.htm",2
Drag Racing,"automobiles or motorcycles race down a straight track.","https://www.topendsports.com/sport/list/drag-racing.htm",2
Enduro,"a motorcycle sport with main objective to traverse a series of checkpoints, arriving exactly at a predetermined time. The courses are usually run over thick wooded terrain, sometimes with large obstacles.","https://www.topendsports.com/sport/list/motorcycle-enduro.htm",2
Endurocross,"hybrid sport combining of elements from Supercross, Enduro, and Trials (also called indoor enduro)","https://www.topendsports.com/sport/list/motorcycle-endurocross.htm",2
Supercross,"an indoor dirt-bike racing sport that evolved from Motocross, using specifically built indoor dirt tracks.","https://www.topendsports.com/sport/list/motorcycle-supercross.htm",2
Supermoto,"motorcycle riders compete on three different types of courses as part of a single race: a flat track course, a motocross course and a road course.","https://www.topendsports.com/sport/list/motorcycle-supermoto.htm",2
Motorcycle Trials,"a test of skill on a motorcycle whereby the rider attempts to cover rocky terrain without placing a foot on the ground. The winner is the rider with the least penalty points. Known in the US as 'Observed Trials'","https://www.topendsports.com/sport/list/motorcycle-trials.htm",2
Hill Climbing (Motorcycle),"riders use dirt bikes to climb an uphill course.","https://www.topendsports.com/sport/list/motorcycle-hill-climb.htm",2
Motocross,"a form of motorcycle racing held on enclosed off-road circuits which include embankments and jumps.","https://www.topendsports.com/sport/list/motocross.htm",2
Freestyle Motocross,"competition based upon points for acrobatic ability on an MX bike over jumps.","https://www.topendsports.com/sport/list/motocross-freestyle.htm",2
Motorcycle Gymkhana,"a motorcycle time trial sport around cones on a paved area. The winner is the competitor who completes the course in the shortest time. Time penalties are incurred by putting a foot down, hitting a cone, or going outside the designated area.","https://www.topendsports.com/sport/list/motorcycle-gymkhana.htm",2
Motoball,"similar to football, except all players (except goalkeepers) are riding motorcycles, and the ball is much bigger (also called Motorcycle Polo).","https://www.topendsports.com/sport/list/motoball.htm",2
