sub_sport_category,description,reference_website,level
Team Handball,"which can also be called borden ball, is a type of contact sport in which two teams with seven players each (consisting of six outfield players and one goalkeeper), pass a ball and throw it into the goal of the opposing team.","https://www.topendsports.com/sport/list/handball.htm",2
American Handball,"players use their hands to hit a small rubber ball against a wall. There are three versions (four-wall handball, three-wall handball and one-wall handball) that can each be played by either two, three or four players. It can be compared to squash without rackets. It is very different from the Olympic sport of (Team) Handball.","https://www.topendsports.com/sport/list/handball-american.htm",2
Australian Handball,"players use their hands to hit a ball against one or two walls. It's similar to squash, though played without a racquet.","https://www.topendsports.com/sport/list/handball-australian.htm",2
Beach Handball,"a variation of Team Handball, played on sand instead of indoors. This sport is sometimes called Sandball.","https://www.topendsports.com/sport/list/handball-beach.htm",2
Chinese Handball,"a form of American handball which is popular in the streets of NY, similar to Wallball.","https://www.topendsports.com/sport/list/handball-chinese.htm",2
Czech Handball,"a ball game created in the Czech Republic with similarities with Team Handball.","https://www.topendsports.com/sport/list/handball-czech.htm",2
Eton Fives,"a handball sport derived from the English sport Fives, played in doubles format on a 3-wall court.","https://www.topendsports.com/sport/list/fives-eton.htm",2
Field Handball,"the original version of Handball, played outdoors on a larger field and with more players. It is also known as Outdoor Handball or Grass Handball.","https://www.topendsports.com/sport/list/handball-field.htm",2
Frisian Handball,"a traditional sport from the Netherlands in which players attempt to land a ball at the end of a long rectangular field.","https://www.topendsports.com/sport/list/handball-frisian.htm",2
Gaelic Handball,"a wall-based sport, played in Ireland, similar to squash though the ball is hit with the hand.","https://www.topendsports.com/sport/list/handball-gaelic.htm",2
International Game,"a team sport that is played by striking a ball with hands, created so that players from similar handball sports could play against each other.","https://www.topendsports.com/sport/list/international-game.htm",2
Squash Fives,"a variation of the traditional sport of fives handball, though played on a squash court with a modified ball.","https://www.topendsports.com/sport/list/fives-squash.htm",2
Valencian Pilota,"is a traditional handball sport played in the Valencian Community of Spain. The ball is usually struck with a bare hand in a game involving two teams made from two up to five players each (depending on the particular version played). Unlike the original Basque Pelota, it is not played against a wall. Instead, teams are placed face to face separated either by a line on the ground or a net. Versions include Valencian Frontó.","https://www.topendsports.com/sport/list/valencian-pilota.htm",2
Valencian Frontó,"modified Valencian Pilota version of the original Basque Pelota game. The players don't stand face-to-face as in the more popular Valencian Pilota but share a common playing area.","https://www.topendsports.com/sport/list/valencian-fronto.htm",2
