sub_sport_category,description,reference_website,level
Aikido,"a Japanese martial art which typically involve throws, joint locks, and pins, designed to redirect an attacker's energy and neutralize their attack.","https://www.topendsports.com/sport/list/aikido.htm",2
Amateur Pankration,"a modern version of the Ancient Olympic sport of Pankration.","https://www.topendsports.com/sport/list/pankration.htm",2
Beach Sambo,"a modified version of sambo played on the sand, with bouts lasting three minutes, without penalties and mat wrestling.","https://www.topendsports.com/sport/list/sambo-beach.htm",2
Budō,"a term referring to the variety of Japanese martial arts, such as sumo, jujutsu, judo, kendo, aikido and karate.","https://www.topendsports.com/sport/martial-arts/budo.htm",2
Capoeira,"a form of martial art from Brazil which has a combination of aspects of dance moves, acrobatics, movements and music.","https://www.topendsports.com/sport/list/capoeira.htm",2
Drunken Boxing,"(or Drunkard's Boxing or Zui Quan). It is a concept in traditional Chinese martial arts.","https://www.topendsports.com/sport/list/boxing-drunken.htm",2
Karate,"a martial art developed in Japan that uses punching, kicking, knee strikes, elbow strikes, and some open-hand techniques.","https://www.topendsports.com/sport/list/karate.htm",2
Krav Maga,"a military system developed in Israel known for its focus on real-world situations and its extreme efficiency.","https://www.topendsports.com/sport/list/krav-maga.htm",2
Judo,"the objective is to throw or takedown the opposing player to the ground.","https://www.topendsports.com/sport/list/judo.htm",2
Jujutsu,"a Japanese martial art using close combat for defeating an armed and armored opponent, with ony a short weapon or none at all.","https://www.topendsports.com/sport/list/jujutsu.htm",2
Brazilian Jiu-jitsu,"a combat sport from Brazil based on ground fighting and submission holds, developed from judo and jujutsu.","https://www.topendsports.com/sport/list/brazilian-jiu-jitsu.htm",2
Kalaripayattu,"an ancient martial art from Kerala, India.","https://www.topendsports.com/sport/list/kalaripayattu.htm",2
Kung Fu,"a general term for Chinese martial arts, the competition format is Wushu.","no reference website",2
MMA,"a full-contact individual combat sport which include aspects of several other combat sports and martial arts.","https://www.topendsports.com/sport/list/mma.htm",2
Naginatajutsu,"a Japanese martial art of wielding the naginata, a weapon resembling the medieval European glaive.","no reference website",2
Ninjutsu,"The traditional Japanese art of the Ninjas - incorporating stealth, camouflage and sabotage, now practiced as a martial art.","no reference website",2
Northern Praying Mantis,"a style of Chinese martial arts, sometimes called Shandong Praying Mantis.","no reference website",2
Okinawan Kobudō,"weapon systems of Okinawan martial arts, also known as Ryūkyū Kobujutsu.","no reference website",2
Pencak Silat,"a fighting sport from Indonesia which collectively encompasses martial arts of various styles.","https://www.topendsports.com/sport/list/pencak-silat.htm",2
Sambo,"a martial art developed for Russia's military and police force in the 1930s. The term translates as "self-defense without weapons".","https://www.topendsports.com/sport/list/sambo.htm",2
Silambam,"a traditional Tamil martial art from India which mainly uses a bamboo staff.","https://www.topendsports.com/sport/list/silambam.htm",2
Taekwondo,"a self defense discipline that originated in Korea.","https://www.topendsports.com/sport/list/taekwondo.htm",2
Vovinam,"a Vietnamese martial art.","https://www.topendsports.com/sport/list/vovinam.htm",2
Vajra-mushti,"an Indian martial art in which a knuckleduster-like weapon called the Vajra-mushti is employed.","https://www.topendsports.com/sport/list/vajramushti.htm",2
Varzesh-e Bastani,"a traditional Iranian martial arts. The sport is practiced in a gymnasium called Zourkhaneh, which is another name by which the sport is known. Also called Varzesh-e Pahlavani.","https://www.topendsports.com/sport/list/varzesh-e-bastani.htm",2
Wushu,"a full-contact sport derived from traditional Chinese martial arts, also known as Kung Fu.","https://www.topendsports.com/sport/list/wushu.htm",2
Kendo,"a form of Japanese martial art that originated from kenjutsu, which includes fighting using bamboo swords.","https://www.topendsports.com/sport/list/kendo.htm",2
Arnis,"the national martial art sport of the Philippines which emphasizes weapon-based fighting usually with a stick or cane.","https://www.topendsports.com/sport/list/arnis.htm",2
Fencing,"competitors face each other and attempt to touch each other with the tip of a thin sword.","https://www.topendsports.com/sport/list/fencing.htm",2
Stick-Fighting,"a type of martial arts which uses a hand-held long slender wooden stick for fighting. Variations include Singlestick and Canne de Combat, Kalaripayattu Stick Fighting, Bataireacht and Tahtib.","https://www.topendsports.com/sport/list/stick-fighting.htm",2
Kickboxing,"a group of stand-up combat sports based on kicking and punching. Variations include Pradal Serey (Cambodia), Sanda (China), Savate (France), Sikaran (Philippines).","https://www.topendsports.com/sport/list/kickboxing.htm",2
Boxing,"a combat sport in which two players throw punches at each other.","https://www.topendsports.com/sport/list/boxing.htm",2
Wrestling,"a general term for a combat sport between two competitors involving grappling-type techniques. Popular forms include the Olympic styles of Greco-Roman and Freestyle. There are many regional forms of wrestling.","https://www.topendsports.com/sport/wrestling-sports.htm",2
Tricking,"performers combine martial arts movements with flips, kicks, twists and various dance moves to show off their tricks.","https://www.topendsports.com/sport/list/tricking.htm",2
Breaking,"the act of breaking solid objects like wood, bricks, and ice using strikes.","https://www.topendsports.com/sport/list/breaking.htm",2
