sub_sport_category,description,reference_website,level
Adventure Racing,"an event combining two or more endurance disciplines, such as Orienteering, Cross-Country Running, Mountain Biking, Paddling and Climbing. It is also called Expedition Racing.","https://www.topendsports.com/sport/list/adventure-racing.htm",2
Ultramarathon,"very long-distance endurance events, ranging from greater than Marathon distance to several days. Ultramarathons can either cover a specified distance, or take place during a specified time frame, with the winner covering the most distance in that time.","https://www.topendsports.com/sport/list/ultramarathon.htm",2
Skyrunning,"a running sport in which athletes compete on a course that leads through mountains.","https://www.topendsports.com/sport/list/running-sky.htm",2
Fell Running,"running races done off-road and mostly uphill.","https://www.topendsports.com/sport/list/running-fell.htm",2
High Diving,"athletes dive into the water from considerably large heights.","https://www.topendsports.com/sport/list/diving-high.htm",2
Sport Climbing,"rock climbing competitions, can be Lead Climbing, Speed Climbing or Bouldering.","https://www.topendsports.com/sport/list/climbing.htm",2
Bouldering,"a type of rock climbing which is done without the use of a harness.","https://www.topendsports.com/sport/list/bouldering.htm",3
Abseiling,"participants descend a steep formation using a rope. It is also known as rappeling, roping down, roping and snapling.","https://www.topendsports.com/sport/list/abseiling.htm",2
Mountaineering,"the sport of mountain climbing","https://www.topendsports.com/sport/list/mountaineering.htm",2
Para-climbing,"sports rock climbing for disabled athletes","https://www.topendsports.com/sport/list/para-climbing.htm",2
Ice Climbing,"athletes climb vertical ice formations with the use of ropes and other protective gear.","https://www.topendsports.com/sport/list/climbing-ice.htm",2
Ice Racing,"racing of motorized vehicles on predominantly natural ice surfaces like frozen lakes or rivers. Variations include Snowmobile Racing and Ice Speedway.","https://www.topendsports.com/sport/list/ice-racing.htm",2
