sub_sport_category,description,reference_website,level
Road Cycling,"cycle races held on paved roads, usually over several hours or days.","https://www.topendsports.com/sport/list/cycling-road.htm",2
Track Cycling,"bicycle races conducted on velodromes or other specially designed tracks that feature a steep banking.", "https://www.topendsports.com/sport/list/cycling-track.htm",2
Cycling Time Trials,"a bicycle race in which cyclists race alone against the clock.","https://www.topendsports.com/sport/list/cycling-time-trial.htm",2
Mountain Biking,"riders using a bicycle off-roads, usually through rough terrain.","https://www.topendsports.com/sport/list/mountain-biking.htm",2
Cross-Country Mountain Biking,"off-road cycling races over rough terrain","https://www.topendsports.com/sport/list/mountain-biking-xc.htm",3
Downhill Mountain Biking,"held on steep and rough terrain, involving jumps, rock gardens, and other obstacles.","https://www.topendsports.com/sport/list/mountain-biking-downhill.htm",3
E-Bike Racing,"competitive cycling where participants use electric bicycles (e-bikes) to compete in various races and events.","https://www.topendsports.com/sport/list/e-bike-racing.htm",2
Cyclo-Cross,"a type of bicycle racing, a winter sport performed over various terrain.","https://www.topendsports.com/sport/list/cyclo-cross.htm",2
Cycle Speedway,"replicating motor speedway using bicycles","https://www.topendsports.com/sport/list/cycle-speedway.htm",2
Bicycle Motocross (BMX),"a cycle sport that involves BMX bikes.","https://www.topendsports.com/sport/list/bmx.htm",2
Ice Track Cycling,"racing a modified bicycle around a 400 m frozen track.","https://www.topendsports.com/sport/list/cycling-ice.htm",2
Freestyle BMX,"stunt riding sport using BMX bikes.","https://www.topendsports.com/sport/list/bmx-freestyle.htm",2
Unicycling,"sports using a single-wheel cycle. Disciplines include Mountain Unicycling, Unicycle Trials, Unicycle Hockey, Unicycle Handball, Unicycle Basketball.","https://www.topendsports.com/sport/list/unicycling.htm",2
Cycle Ball,"the gameplay is similar to that of association football, but is played with each player riding a bicycle.","https://www.topendsports.com/sport/list/cycle-ball.htm",2
Artistic Cycling,"a form of competitive indoor cycling in which athletes perform tricks for points on specialized, fixed-gear bikes in a format similar to ballet or gymnastics.","https://www.topendsports.com/sport/list/cycling-artistic.htm",2
Bicycle Polo,"similar to Polo, though played on bicycles instead of horses.","https://www.topendsports.com/sport/list/polo-bicycle.htm",2
Snowbiking,"uses a mountain bike on snow with fat tires.","https://www.topendsports.com/sport/list/snowbiking.htm",2
Skibobbing,"a winter sport that uses a bicycle-type frame connected to skis called skibobs.","https://www.topendsports.com/sport/list/skibobbing.htm",2
