sub_sport_category,description,reference_website,level
Biathle,"consists of swimming and running as part of a single race. It is usually over a shorter distance than the similar Aquathlon.","https://www.topendsports.com/sport/list/biathle.htm",2
Aquathlon,"a continuous race involving swimming followed by running. It is usually over a shorter distance than the similar Biathle.","https://www.topendsports.com/sport/list/aquathlon2.htm",2
Aquabike,"a shortened version of triathlon, with no running leg. Athletes swim followed by cycling.","https://www.topendsports.com/sport/list/aquabike.htm",2
Duathlon,"similar to triathlon, running first, then cycling, then running again.","https://www.topendsports.com/sport/list/duathlon.htm",2
Swimrun,"involves multiple swim and run stages, while carrying all equipment and with no clothing changes.","https://www.topendsports.com/sport/list/swimrun.htm",2
Biathlon,"a combination of cross-country skiing and rifle shooting.","https://www.topendsports.com/sport/list/biathlon.htm",2
Summer Biathlon,"a combined sport of roller skiing (or trail running) and rifle shooting.","https://www.topendsports.com/sport/list/biathlon-summer.htm",2
Biathlon Orienteering,"a combination of the navigation sport of orienteering with rifle shooting.","https://www.topendsports.com/sport/list/biathlon-orienteering.htm",2
Laser Run,"four legs of laser pistol shooting, each followed by an 800m run.","https://www.topendsports.com/sport/list/laser-run.htm",2
Ski Archery,"involves skiing and shooting arrows at targets.","https://www.topendsports.com/sport/list/archery-ski.htm",2
Triathlon,"a race consisting of three events, usually swimming, cycling, and running in consecutive order.","https://www.topendsports.com/sport/list/triathlon.htm",2
Nordic Combined,"a Winter Olympics sport in which athletes compete in a combined event of Cross-Country Skiing and Ski Jumping.","https://www.topendsports.com/sport/list/skiing-nordic-combined.htm",2
Winter Triathlon,"athletes compete in running, mountain biking and cross-country skiing.","https://www.topendsports.com/sport/list/triathlon-winter.htm",2
Indoor Triathlon,"swimming in an indoor pool, cycling on a stationary bike, and running on an indoor track or treadmill.","https://www.topendsports.com/sport/list/triathlon-indoor.htm",2
Cross Triathlon,"a variation of the traditional triathlon, with a swim stage, mountain-biking stage and a trail-running stage.","https://www.topendsports.com/sport/list/triathlon-cross.htm",2
Triathle,"a shortened version of the Modern Pentathlon, athletes compete in shooting, swimming and running events as a part of a single race.","https://www.topendsports.com/sport/list/triathle.htm",2
Quadrathlon,"an endurance sports event composed of the four individual disciplines of swimming, kayaking, cycling and running - also called quadriathlon.","https://www.topendsports.com/sport/list/quadrathlon.htm",2
Tetrathlon,"composed of 4 out of the 5 disciplines of Modern Pentathlon: Swimming, Running, Shooting and either Fencing or Equestrian.","https://www.topendsports.com/sport/list/tetrathlon.htm",2
Ironman Surflifesaving,"combines four major aspects of surflifesaving into a single race: swimming, board paddling, ski paddling, and beach running.","https://www.topendsports.com/sport/list/surflifesaving-ironman.htm",2
Medley Swimming Relay,"a swimming race in which teams of four race consecutively.","https://www.topendsports.com/sport/list/swimming-relays.htm",2
Modern Pentathlon,"an event in the Olympics that comprises five events: fencing, 200m freestyle swimming, show jumping (to be replaced by an obstacle run?), and a combined event of pistol shooting and 3200m cross-country run.","https://www.topendsports.com/sport/list/modern-pentathlon.htm",2
Ancient Pentathlon,"the ancient Olympic pentathlon was an athletic competition which consisted of five events, running, javelin throw, discus throw, long jump, and wrestling.","https://www.topendsports.com/sport/extinct/ancient-olympic-pentathlon.htm",2
Athletics Pentathlon,"a no longer held event comprising long jump, javelin, 200-meter run, discus, and 1500-meter run.","https://www.topendsports.com/events/discontinued/athletics-pentathlon.htm",2
Military Pentathlon,"a competition involving a shooting phase, obstacle run, obstacle swimming, grenade throwing, and cross-country running.","https://www.topendsports.com/sport/list/pentathlon-military.htm",2
Naval Pentathlon,"comprises an obstacle race, life-saving swimming race, utility swimming race, seamanship race, and an amphibious cross-country race.","https://www.topendsports.com/sport/list/pentathlon-naval.htm",2
Winter Pentathlon,"was a demonstration sport at the 1948 Winter Olympics, which involved a 10km cross-country ski race, pistol shooting, downhill skiing, fencing and a horse jumping equestrian course.","https://www.topendsports.com/events/demonstration/winter-pentathlon.htm",2
Heptathlon,"a women's track and field multi-event comprising 7 events.","https://www.topendsports.com/sport/list/athletics-heptathlon.htm",2
Decathlon,"a men's track and field event comprising 10 events.","https://www.topendsports.com/sport/list/athletics-decathlon.htm",2
Aeronautical Pentathlon,"despite the name, the sport has 6 events: shooting, fencing, orienteering, basketball skills, obstacle course and swimming.","https://www.topendsports.com/sport/list/pentathlon-aeronautical.htm",2
Icosathlon,"a double decathlon consisting of 20 events, including the 10 traditional decathlon events with 10 additional track and field events.","https://www.topendsports.com/sport/list/athletics-icosathlon.htm",2
Tetradecathlon,"a double heptathlon consisting of 14 events, including the 7 traditional heptathlon events with 7 additional track and field events.","https://www.topendsports.com/sport/list/athletics-tetradecathlon.htm",2
