sub_sport_category,description,reference_website,level
Air Badminton,"is a racket sport, a variation of badminton. This new exciting format of badminton is designed to be played outdoors on any surface, by people of all ages and all abilities.","https://www.topendsports.com/sport/list/badminton-air.htm",2
Badminton,"is a type of racket sport that is either played indoors by individuals (singles) or a team of two (doubles)","https://www.topendsports.com/sport/list/badminton.htm",2
Ball badminton,"is a team game and a type of racket sport, that is played in India.","https://www.topendsports.com/sport/list/badminton-ball.htm",2
Basque pelota,"is a non-contact and a variation of a racket sport","https://www.topendsports.com/sport/list/basque-pelota.htm",2
Beach tennis,"is sport which has elements from tennis and volleyball, and is played on the beach.","https://www.topendsports.com/sport/list/tennis-beach.htm",2
Crossminton,"(also called Speed Badminton or Speedminton) is a racket sport, an outdoor version of badminton, predominantly played individually between two players.","https://www.topendsports.com/sport/list/speedminton.htm",2
Fives,"s a popular English sport that is basically derived from the similar origins of many racket sports.","https://www.topendsports.com/sport/list/fives.htm",2
Frontenis,"Played within the ‘pelota court’ of thirty meters, Frontenis is a sport in which rackets and a rubber ball is used.","https://www.topendsports.com/sport/list/frontenis.htm",2
Hardball Squash,"s a sport that was directly derived from squash in North America during the late 19th early 20th century.","https://www.topendsports.com/sport/list/squash-hardball.htm",2
Jai alai,"is a sport derived from Basque pelota, and is usually played indoors.","https://www.topendsports.com/sport/list/jai-alai.htm",2
Matkot / Frescobol,"This beach game is played with two solid padel rackets, and is similar to beach tennis that is played with a net. In Israel it is called Matkot, in Brazil it is called Frescobol.","https://www.topendsports.com/sport/list/matkot.htm",2
Paddle Tennis,"is a racket (paddle) and ball sport, that has been developed from tennis.","https://www.topendsports.com/sport/list/tennis-paddle.htm",2
Padel,"Adapted from tennis, padel tennis or simply ‘padel’ is a popular sport in the United States and Latin America. Padel is a mix of squash and tennis.","https://www.topendsports.com/sport/list/padel-tennis.htm",2
Pickleball,"is a fun recreational sport that is gaining popularity around the world.","https://www.topendsports.com/sport/list/pickleball.htm",2
Pitton,"is a racket-based sport that is played with a hard pickleball paddle and a shuttlecock.","https://www.topendsports.com/sport/list/pitton.htm",2
Paleta frontón,"is a wall-based racquet sport that originated in Peru in the mid-20th century.","https://www.topendsports.com/sport/list/paleta-fronton.htm",2
Pelota mixteca,"is known to have been played thousands of years ago and the current version is believed to be a modified version of that ancient game.","https://www.topendsports.com/sport/list/pelota-mixteca.htm",2
Platform Tennis,"is a racquet and ball sport that was derived from lawn tennis.","https://www.topendsports.com/sport/list/tennis-platform.htm",2
Qianball,"is a racket and ball based sport developed in China which can be best described as a mix of aspects from Tennis and Squash.","https://www.topendsports.com/sport/list/qianball.htm",2
Racquetball,"is a type of racket sport that is played using a hollow rubber ball.","https://www.topendsports.com/sport/list/racquetball.htm",2
Racquets,"or rackets in (American English) is a racket sport played indoors.","https://www.topendsports.com/sport/list/rackets.htm",2
Racketlon,"is a combination sport, where players compete in the sports of table tennis, tennis, squash, and badminton, with an overall winner determined with the results of each event.","https://www.topendsports.com/sport/list/racketlon.htm",2
Real tennis,"is the original sport in which lawn tennis, commonly known as tennis, originated.","https://www.topendsports.com/sport/list/tennis-real.htm",2
Road Tennis,"is a racket and ball sport derived from lawn tennis, that is played on a smaller court with paddles and a low wooden net.","https://www.topendsports.com/sport/list/tennis-road.htm",2
Soft tennis,"is a sport that is essentially the same as lawn tennis, but is played with a softer ball as opposed to a hard yellow ball used for lawn tennis.","https://www.topendsports.com/sport/list/tennis-soft.htm",2
Speed-ball,"(also Speedball, Turnball) is a racket and a ball sport which was developed in Egypt in 1961.","https://www.topendsports.com/sport/list/speed-ball.htm",2
Squash,"is a type of racket sport played indoors in an enclosed court.","https://www.topendsports.com/sport/list/squash.htm",2
Squash Tennis,"is an indoor racquet sport which was derived from both squash and lawn tennis.","https://www.topendsports.com/sport/list/squash-tennis.htm",2
Stické,"also referred to by the name stické tennis, is an indoor racquet and ball based sport that was derived from lawn tennis in the late 19th century.","https://www.topendsports.com/sport/list/tennis-sticke.htm",2
Table Tennis,"commonly called ping pong in the USA) is one of the most popular indoor sports around the world.","https://www.topendsports.com/sport/list/table-tennis.htm",2
Tamburello,"is racquet and a ball based sport which originated in Italy during the 16th century.","https://www.topendsports.com/sport/list/tamburello.htm",2
Tennis,"is one of the most popular individual sports in the world.","https://www.topendsports.com/sport/list/tennis.htm",2
Tennis Polo,"s an outdoor non-contact team sport that adapts several aspects from sports like handball, football and hurling, originated in the United States. It is also known as Toccer.","https://www.topendsports.com/sport/list/polo-tennis.htm",2
Totem Tennis,"also called Swingball, is a game played between two individuals with the use of a stationary pole with a tennis ball tethered by a rope to the top of the pole. A similar sport is Speedball.","https://www.topendsports.com/sport/list/totem-tennis.htm",2
Xare,"is one of the disciplines of the sport Basque pelota. It is played with a racket and a ball in a court called a trinquete.","https://www.topendsports.com/sport/list/xare.htm",2

