sub_sport_category,description,reference_website,level
Kolven,"A game played in the Netherlands in medieval times, possibly a precursor to modern golf.","https://www.topendsports.com/sport/extinct/kolven.htm",2
Crossage,"A golf-like stick and ball game played in the streets during medieval times.","https://www.topendsports.com/sport/extinct/crossage.htm",2
Stroke Play,"A common scoring system where the player with the lowest total strokes after 18 holes wins.","no reference website",2
Match Play,"A format where two players or teams compete hole by hole, with the winner having the most holes won.","no reference website",2
Stableford,"A scoring system where points are awarded based on performance per hole rather than total strokes.","no reference website",2
Ambrose,"A team-based format where players choose the best shot and all play from that position.","no reference website",2
Skins,"A game where each hole has a prize, and the player who wins the hole outright wins the prize.","no reference website",2
Speed Golf,"A variation of golf where players aim to complete the course in the fewest strokes and fastest time.","https://www.topendsports.com/sport/list/speed-golf.htm",2
Pitch and Putt,"A short version of golf played on a course with holes typically less than 80 yards long, requiring only pitching and putting.","https://www.topendsports.com/sport/list/golf-pitch-and-putt.htm",2
Mini-Golf,"A putting-only version of golf played on artificial surfaces, often with obstacles.","https://www.topendsports.com/sport/list/golf-miniature.htm",2
Mini-Golf Billiards,"A variation of Mini-Golf played on a pool table using pool cues.","https://www.topendsports.com/sport/unusual/mini-golf-billiards.htm",2
Behcup,"A putting-style game where balls are hit into a small goal rather than into a hole.","https://www.topendsports.com/sport/list/behcup.htm",2
Longest Drive,"A competition to determine who can hit a golf ball the farthest.","https://www.topendsports.com/sport/list/golf-long-drive.htm",2
Target Golf,"A golf variation where players aim at a net and score points based on landing position.","https://www.topendsports.com/sport/list/golf-target.htm",2
Snow Golf,"A winter version of golf played on snow and ice.","https://www.topendsports.com/sport/list/golf-snow.htm",2
Beach Golf,"A summer version of golf played on sand with a lightweight foam ball.","https://www.topendsports.com/sport/list/golf-beach.htm",2
Virtual Golf,"An indoor version of golf where shots are made into a screen that simulates the course.","https://www.topendsports.com/sport/list/golf-virtual.htm",2
Urban Golf,"Golf played in urban areas with various obstacles and unconventional terrains.","https://www.topendsports.com/sport/list/golf-urban.htm",2
Park Golf,"A simplified golf variation from Japan, played with a single club and ball.","no reference website",2
Golf Croquet,"A croquet variation where players take turns hitting a ball through hoops.","https://www.topendsports.com/sport/list/croquet-golf.htm",2
Krolf,"A Danish sport combining croquet and golf, played by hitting a ball into a hole with a mallet.","https://www.topendsports.com/sport/list/krolf.htm",2
Disc Golf,"A golf variation where players throw a frisbee into a chain basket as the hole.","https://www.topendsports.com/sport/list/disc-golf.htm",2
Irish Road Bowling,"A sport where competitors try to take the fewest throws to propel a metal ball along country roads.","https://www.topendsports.com/sport/list/bowling-irish-road.htm",2
Klootschieten,"A German sport where participants throw a ball to reach a target area in as few throws as possible.","https://www.topendsports.com/sport/list/klootschieten.htm",2
Golf Pool Indoor Game,"An indoor game where a ball is hit with a putter into holes on a pool table.","no reference website",2
Golf Pool / Golf Billiards,"A pocket billiards game where players pocket nominated balls in order using pool cues.","no reference website",2
Word Golf,"A word game where players link two words by changing one letter at a time, invented by Lewis Carroll.","no reference website",2
Billiard Croquet (Golf) Game,"a new sport for billiard and golf players, played on a felt top table.","https://www.topendsports.com/sport/new/billiard-croquet.htm",2
Clotgert,"a new target golf game, three shots at a target from different distances.","https://www.topendsports.com/sport/new/clotgert.htm",2
Flog,"a futuristic version of golf (it is also golf spelt backwards!)","https://www.topendsports.com/sport/new/r-world-flog.htm",2
FuGoal Golf,"kick a soccer ball from the tee box into the FuGoal Net with the fewest number of kicks/strokes.","https://www.topendsports.com/sport/new/fugoal-golf.htm",2
Hole-In-Drone,"a drone golf game.","https://www.topendsports.com/sport/new/r-world-hole-in-drone.htm",2
Speedgolf,"golf, but as quick as you can with unlimited strokes.","https://www.topendsports.com/sport/new/speedgolf.htm",2
Spekthow,"marbles are thrown around a course of holes like in golf.","https://www.topendsports.com/sport/new/spekthow.htm",2
