sub_sport_category,description,reference_website,level
Greco-Roman,"In this style, wrestlers are prohibited from holding any part of the opponent’s body below the waist","https://www.topendsports.com/sport/list/wrestling-greco-roman.htm",2
Freestyle,"In this style, unlike other styles, wrestlers are allowed to use their legs for offense or defense during a bout.","https://www.topendsports.com/sport/list/wrestling-freestyle.htm",2
Collegiate Wrestling,"a wrestling style practiced exclusively in the United States at a collegiate level.","https://www.topendsports.com/sport/list/wrestling-collegiate.htm",2
Belt Wrestling,"the aim is to knock down the opponent by grappling with their belt.","https://www.topendsports.com/sport/list/wrestling-belt.htm",2
Beach Wrestling,"a standing up position style of wrestling conducted on beach sand.","https://www.topendsports.com/sport/list/wrestling-beach.htm",2
Boli Khela,"a form of wrestling that is practiced in Bangladesh and India.","https://www.topendsports.com/sport/list/wrestling-boli-khela.htm",2
Dumog,"a Filipino style of wrestling while standing upright.","https://www.topendsports.com/sport/list/wrestling-dumog.htm",2
Glima,"a wrestling style from Scandinavia, based on a popular sport of the Vikings from over 1200 years ago.","https://www.topendsports.com/sport/list/glima.htm",2
Kurash,"folk wrestling style from Central Asia in which wrestlers use towels to hold their opponents, and their goal is to throw their opponents off the feet.","https://www.topendsports.com/sport/list/wrestling-kurash.htm",2
Pehlwani,"a form of wrestling from South Asia. A win is achieved by pinning the opponent's shoulders and hips to the ground simultaneously.","https://www.topendsports.com/sport/list/wrestling-pehlwani.htm",2
Mongolian Wrestling,"a folk wrestling style from the Mongolian region, in which the aim is to get your opponent to touch his upper body, knee or elbow to the ground.","https://www.topendsports.com/sport/list/wrestling-mongolian.htm",2
Schwingen,"a style of folk wrestling native to Switzerland.","https://www.topendsports.com/sport/list/wrestling-schwingen.htm",2
Sorro Wrestling,"a traditional wrestling style from Niger","https://www.topendsports.com/sport/list/wrestling-sorro.htm",2
Ssireum,"a folk wrestling style and traditional national sport of Korea, with the aim to bring any part of the opponent's body above the knee to the ground.","https://www.topendsports.com/sport/list/wrestling-ssireum.htm",2
Sumo,"two wrestlers within a circular ring try and push the other out","https://www.topendsports.com/sport/list/wrestling-sumo.htm",2
Yağlı Güreş,"(Turkish oil wrestling)","https://www.topendsports.com/sport/list/wrestling-oil.htm",2
Mas Wrestling,"participants sit and face each other with their feet braced against a board and each with both hands on a stick. The aim is to pull the other player over to your side.","https://www.topendsports.com/sport/list/wrestling-mas.htm",2
Arm Wrestling,"each participant places one elbow on a surface while gripping the other participant's hand. The aim is to pin the other's arm onto the surface.","https://www.topendsports.com/sport/list/wrestling-arm.htm",2
Beeni Wrestling,"also called Asian arm wrestling, involves two competitors attempting to break free from their competitor’s hold.","https://www.topendsports.com/sport/list/wrestling-beeni.htm",2
Underwater Wrestling (also known as Aquathlon),"an underwater sport where two competitors wearing masks and fins wrestle underwater in an attempt to remove a ribbon from each other's ankle band.","https://www.topendsports.com/sport/list/aquathlon.htm",2
Mud Wrestling,"a women only wrestling sport, in mud while wearing only bikinis (unusual sport)","https://www.topendsports.com/sport/unusual/mud-wrestling.htm",2
Shin Kicking,"a traditional English sport involving kicking the opponent's shins until submission (unusual sport)","https://www.topendsports.com/sport/unusual/shin-kicking.htm",2
Grappling (FILA),"a non-striking hybrid submission wrestling sport sanctioned by the International Federation of Associated Wrestling Styles (FILA), no longer used in competition","no reference website",2
Sanshou,"(also called Sanda), one of the forms of Wushu - a form of kickboxing from China, which combines full-contact kickboxing, with wrestling, takedowns, throws, sweeps, kick catches, and in some competitions, even elbow and knee strikes.","https://www.topendsports.com/sport/list/kickboxing-sanshou.htm",2
Professional Wrestling,"a scripted wrestling-style activity designed to entertain (not a real sport).","https://www.topendsports.com/sport/list/wrestling-professional.htm",2
Steer wrestling,"part of Rodeo events.","https://www.topendsports.com/sport/list/rodeo.htm",2
Martial Arts,"list of martial arts sports.","https://www.topendsports.com/sport/martial-arts/index.htm",2
