sub_sport_category,description,reference_website,level
Association Football,"The most popular sport worldwide, known as soccer in some countries, played with a round ball mostly using feet, except for goalkeepers.","https://www.topendsports.com/sport/list/football-association.htm",2
Beach Soccer,"A variation of football played on sand, usually with fewer players and adapted rules.","https://www.topendsports.com/sport/list/soccer-beach.htm",2
Swamp Football,"A version of football played in bogs or swamps, requiring extra physical effort.","https://www.topendsports.com/sport/list/football-swamp.htm",2
Ice Soccer,"Football played on ice with or without skates, requiring extra balance and skill.","https://www.topendsports.com/sport/new/ice-soccer.htm",2
Elephant Football,"A variation where elephants are used in place of human players.","https://www.topendsports.com/sport/unusual/elephant-soccer.htm",2
Futsal,"A five-a-side version of football played indoors with a smaller, heavier ball.","https://www.topendsports.com/sport/list/futsal.htm",2
Indoor Soccer,"A variation of football played indoors, often with walls to keep the ball in play.","https://www.topendsports.com/sport/list/soccer-indoor.htm",2
Cageball,"An indoor football version played in a cage-like structure.","https://www.topendsports.com/sport/list/cageball.htm",2
Jorkyball,"A two-a-side version of football played in an enclosed space.","https://www.topendsports.com/sport/list/jorkyball.htm",2
Sport Table Football,"A tabletop game designed to replicate association football.","https://www.topendsports.com/sport/list/football-sports-table.htm",2
Foosball,"A tabletop version of football using miniature figures attached to rotating rods.","https://www.topendsports.com/sport/list/football-table.htm",2
Footpool,"A combination of football and pool, played on a giant pool table.","https://www.topendsports.com/sport/list/footpool.htm",2
Blind Football,"A variation of football for visually impaired players, using a ball with bells inside.","https://www.topendsports.com/sport/list/football-blind.htm",2
CP Football,"A version of football for athletes with cerebral palsy.","https://www.topendsports.com/sport/list/football-cerebral-palsy.htm",2
Three-Sided Football,"An experimental football game played by three teams on a hexagonal field.","https://www.topendsports.com/sport/unusual/three-sided-football.htm",2
Walking Football,"A slower-paced football game designed for older players.","https://www.topendsports.com/sport/list/football-walking.htm",2
Freestyle Football,"A sport focused on performing tricks and skills with a football.","https://www.topendsports.com/sport/list/football-freestyle.htm",2
Teqball,"A table sport using elements of football, played with a curved table.","https://www.topendsports.com/sport/list/teqball.htm",2
Crab Soccer,"A fun variation where players move like crabs, using hands and feet.","https://www.topendsports.com/sport/list/soccer-crab.htm",2
Zorb Football,"Football played while encased in a large inflatable bubble (Zorb).","https://www.topendsports.com/sport/list/football-zorb.htm",2
Fireball Soccer,"An extreme football variation played with a flaming coconut ball in Indonesia.","https://www.topendsports.com/sport/unusual/fireball.htm",2
Robot Soccer,"A football simulation played by robots.","https://www.topendsports.com/sport/list/robot-soccer.htm",2
Vertical Soccer,"A unique sport played on the side of a vertical surface.","https://www.topendsports.com/sport/unusual/vertical-soccer.htm",2
Rugby League,"A form of rugby football that originated from a split in the codes, where teams attempt to carry the ball over the end line while being tackled by the opposition.","https://www.topendsports.com/sport/list/rugby-league.htm",2
Rugby Union,"A form of rugby football similar to Rugby League but with different rules, such as contested scrums and lineouts.","https://www.topendsports.com/sport/list/rugby-union.htm",2
